"sampleid","code","site","plot","date","year","month","day","flowerscollected","isreplicate","isfailedlabwork","isdispersion","sampleid_alternative","generation","generation_merge57","mapped_reads","coverage","usesample","weighted_mean_coverage"
"MLFH020520180420","FH",2,5,"20180420",2018,4,20,87,FALSE,FALSE,FALSE,NA,1,1,16008,0.016008,FALSE,NA
"MLFH020520190221","FH",2,5,"20190221",2019,2,21,15,FALSE,FALSE,FALSE,NA,2,2,6188879,6.188879,TRUE,6.188879
"MLFH020620180405","FH",2,6,"20180405",2018,4,5,7,FALSE,FALSE,FALSE,NA,1,1,5867351,5.867351,TRUE,7.78575070149254
"MLFH020620180420","FH",2,6,"20180420",2018,4,20,60,FALSE,FALSE,FALSE,NA,1,1,8009564,8.009564,TRUE,7.78575070149254
"MLFH020620190215","FH",2,6,"20190215",2019,2,15,3,FALSE,FALSE,FALSE,NA,2,2,5775552,5.775552,TRUE,5.775552
"MLFH020720180405","FH",2,7,"20180405",2018,4,5,7,FALSE,FALSE,FALSE,NA,1,1,6449236,6.449236,TRUE,5.77105917948718
"MLFH020720180420","FH",2,7,"20180420",2018,4,20,32,FALSE,FALSE,FALSE,NA,1,1,5622708,5.622708,TRUE,5.77105917948718
"MLFH020720190221","FH",2,7,"20190221",2019,2,21,12,FALSE,FALSE,FALSE,NA,2,2,7764058,7.764058,TRUE,7.764058
"MLFH020820180405","FH",2,8,"20180405",2018,4,5,24,FALSE,FALSE,FALSE,NA,1,1,2189052,2.189052,TRUE,2.61478502752294
"MLFH020820180420","FH",2,8,"20180420",2018,4,20,85,FALSE,FALSE,FALSE,NA,1,1,2734992,2.734992,TRUE,2.61478502752294
"MLFH020920180405","FH",2,9,"20180405",2018,4,5,10,FALSE,FALSE,FALSE,NA,1,1,2792459,2.792459,TRUE,2.24225811764706
"MLFH020920180420","FH",2,9,"20180420",2018,4,20,75,FALSE,FALSE,FALSE,NA,1,1,2168898,2.168898,TRUE,2.24225811764706
"MLFH021120180405","FH",2,11,"20180405",2018,4,5,18,FALSE,FALSE,FALSE,NA,1,1,4152533,4.152533,TRUE,5.19081976923077
"MLFH021120180420","FH",2,11,"20180420",2018,4,20,34,FALSE,FALSE,FALSE,NA,1,1,5740501,5.740501,TRUE,5.19081976923077
"MLFH021220180405","FH",2,12,"20180405",2018,4,5,12,FALSE,FALSE,FALSE,NA,1,1,2844228,2.844228,TRUE,3.77294906976744
"MLFH021220180420","FH",2,12,"20180420",2018,4,20,31,FALSE,FALSE,FALSE,NA,1,1,4132454,4.132454,TRUE,3.77294906976744
"MLFH021320180405","FH",2,13,"20180405",2018,4,5,26,FALSE,FALSE,TRUE,NA,1,1,13273360,13.27336,FALSE,NA
"MLFH021320180420","FH",2,13,"20180420",2018,4,20,100,FALSE,FALSE,TRUE,NA,1,1,10206193,10.206193,FALSE,NA
